Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.112921715,0.3126058,0.08505853,0.03832492,-0.3726209,0.3456268,0.8565001
0.115430832,0.4975855,0.2649716,-0.08382816,-0.3711757,0.3461231,0.8545605
0.117940426,0.4359255,-0.0348835,0.09940146,-0.3706899,0.3412664,0.8520932
0.120449543,0.4359255,0.02508752,0.160478,-0.3711441,0.3422243,0.8574219
0.122959137,0.3742657,0.08505853,0.09940146,-0.3726262,0.3422278,0.8540508
0.125468731,0.4975855,0.2050006,0.09940146,-0.3726179,0.3436823,0.8559979
0.127978325,0.4975855,0.2050006,0.160478,-0.3711665,0.3432044,0.8545321
0.130487442,0.6209053,0.2649716,0.2215545,-0.3711953,0.344187,0.8506758
0.132997036,0.5592454,0.3849136,0.160478,-0.3706988,0.3461283,0.853107
0.135506153,0.5592454,0.2649716,0.03832492,-0.3741094,0.3456328,0.8521625
0.138015747,0.7442251,0.2050006,0.03832492,-0.3711951,0.3451587,0.8511685
0.140524864,0.7442251,-0.0348835,0.2826311,-0.3697218,0.3407857,0.8511143
0.143033981,0.6825652,-0.1548255,0.2826311,-0.3712143,0.3461376,0.8487617
0.153071404,0.4359255,-0.09485453,0.09940146,-0.3707178,0.3480789,0.8511931
0.153071404,0.4359255,-0.09485453,0.09940146,-0.3707178,0.3480789,0.8511931
0.155581474,0.6209053,0.2050006,0.160478,-0.3721521,0.3451493,0.8535922
0.158090591,0.6209053,-0.09485453,0.09940146,-0.3692693,0.3495456,0.8502294
0.160600185,0.5592454,-0.0348835,0.03832492,-0.3668407,0.3446967,0.8472635
0.163109303,0.5592454,-0.2147966,0.09940146,-0.3736283,0.3422355,0.8497095
0.165618897,0.5592454,-0.09485453,0.160478,-0.3726549,0.344182,0.8506872
0.168128014,0.4975855,-0.09485453,0.2826311,-0.3682713,0.3446809,0.851624
0.170637131,0.5592454,0.02508752,0.160478,-0.3712082,0.3441918,0.8487428
0.173146725,0.6209053,-0.1548255,0.2215545,-0.3677458,0.3466113,0.8584042
0.175655842,0.4975855,-0.09485453,0.2215545,-0.3721451,0.3490336,0.8565295
0.178165436,0.4359255,-0.09485453,0.2215545,-0.3726698,0.3519614,0.8522127
0.180674553,0.4975855,-0.2147966,0.2215545,-0.3707201,0.3539101,0.8536661
0.18318367,0.3742657,-0.09485453,0.09940146,-0.3726807,0.3543948,0.8517532
0.185693264,0.3126058,-0.09485453,0.03832492,-0.3707097,0.3485618,0.8526474
0.188203335,0.3742657,-0.2747676,0.09940146,-0.3687592,0.3461373,0.8521252
0.190712452,0.4975855,-0.09485453,-0.02275162,-0.3682843,0.3437141,0.8491983
0.193222046,0.6209053,0.02508752,0.160478,-0.3706586,0.3456273,0.8589009
0.195731163,0.6825652,-0.3347386,0.160478,-0.3682471,0.3451576,0.8554945
0.19824028,0.6209053,-0.0348835,0.09940146,-0.3658508,0.3495523,0.8521355
0.200749874,0.5592454,0.1450296,-0.02275162,-0.3677921,0.3490581,0.8526292
0.203258991,0.6209053,-0.0348835,0.160478,-0.3706997,0.3505014,0.8550825
0.205768585,0.6825652,-0.0348835,0.2215545,-0.3692235,0.3441839,0.8545262
0.208277702,0.7442251,-0.1548255,0.160478,-0.3755595,0.3446526,0.8531311
0.21078682,0.805885,-0.1548255,0.4047842,-0.3755713,0.3514591,0.854647
0.213296413,0.7442251,-0.0348835,0.2215545,-0.3692644,0.3500296,0.8512005
0.215805531,0.8675449,-0.09485453,0.09940146,-0.3619427,0.3485877,0.8540283
0.218315125,0.8675449,0.1450296,0.3437076,-0.3643591,0.3485734,0.8564636
0.220825195,0.7442251,-0.0348835,0.3437076,-0.3726532,0.3446673,0.8511752
0.223334312,0.8675449,-0.0348835,0.2826311,-0.3721454,0.3470902,0.855544
0.22584343,0.805885,-0.1548255,0.160478,-0.3662838,0.3417568,0.8564125
0.228353024,0.9908647,-0.1548255,0.160478,-0.367757,0.3368983,0.8520276
0.230862141,0.805885,0.1450296,0.4047842,-0.3731204,0.3446584,0.8540784
0.233371735,0.7442251,-0.09485453,0.3437076,-0.3726615,0.3432128,0.849228
0.235880852,0.8675449,-0.3347386,0.3437076,-0.371208,0.3451635,0.8492355
0.238389969,0.9908647,-0.0348835,0.3437076,-0.372156,0.3412639,0.8511382
0.240899563,0.9908647,-0.0348835,0.2215545,-0.3716831,0.3466151,0.8516697
0.24340868,0.9292048,-0.1548255,0.5269372,-0.3731024,0.3461092,0.8574751
0.245918274,0.9292048,-0.2747676,0.4047842,-0.3726463,0.3475799,0.8536198
0.248427391,1.052525,-0.1548255,0.2215545,-0.3741172,0.3470933,0.8516936
0.250937462,1.052525,-0.2147966,0.5269372,-0.3712074,0.3490502,0.8512064
0.253446579,1.175844,-0.09485453,0.6490903,-0.3716929,0.3456471,0.8497273
0.255956173,1.237504,-0.2147966,0.5880138,-0.3707286,0.351484,0.8512262
0.25846529,0.9292048,-0.1548255,0.5269372,-0.3672842,0.351481,0.8569981
0.260974884,1.052525,-0.2147966,0.4658607,-0.3702239,0.3539082,0.8551118
0.263484001,0.8675449,-0.09485453,0.3437076,-0.3707287,0.3505123,0.8507335
0.265993118,0.805885,-0.09485453,0.2826311,-0.3731356,0.3504944,0.8546184
0.268502712,0.8675449,-0.0348835,0.3437076,-0.3668252,0.3510071,0.8526405
0.271011829,0.805885,-0.0348835,0.4047842,-0.3673062,0.3553761,0.8555863
0.273521423,0.5592454,-0.09485453,0.4658607,-0.3697424,0.3534257,0.8541369
0.276031494,0.3742657,-0.2747676,0.3437076,-0.3701922,0.3611841,0.8633978
0.278540134,-2.708729,-0.2747676,0.7101669,-0.3704557,0.3649855,0.8987148
0.281049728,-0.6122927,-0.1548255,0.5880138,-0.3788731,0.3156395,0.7799028
0.283559322,1.114184,-0.2147966,0.160478,-0.3530277,0.3466146,0.8766521
0.28606844,0.5592454,0.4448847,0.160478,-0.3721417,0.350004,0.8575054
0.288578034,0.4359255,-0.2747676,0.2215545,-0.3819275,0.3461051,0.8473962
0.291087151,0.4975855,-0.2747676,0.2826311,-0.3754647,0.3431593,0.8666471
0.293596268,0.2509459,-0.09485453,-0.2670578,-0.3769509,0.3475372,0.8647683
0.296105862,0.189286,-0.5146517,-0.4502874,-0.3784483,0.3227676,0.847142
0.298614979,0.9908647,-0.9344488,0.160478,-0.3575957,0.3617327,0.8555714
0.301124573,0.6825652,-0.09485453,0.2826311,-0.3560053,0.3437116,0.8664989
0.30363369,0.805885,0.2050006,0.4658607,-0.3707238,0.3407933,0.8467729
0.306143284,1.052525,-0.0348835,0.5880138,-0.3750976,0.3514656,0.8527102
0.308652401,1.299164,0.02508752,0.5880138,-0.3726104,0.3504815,0.8604133
0.311161518,1.114184,-0.1548255,0.5269372,-0.3716483,0.3427152,0.8550144
0.313671589,1.114184,0.02508752,0.5269372,-0.3677878,0.3456554,0.8516296
0.316181183,1.175844,0.2649716,0.7101669,-0.3673185,0.3490645,0.8506926
0.3186903,1.237504,0.02508752,0.7101669,-0.3730923,0.3490206,0.8604029
0.321199417,1.237504,-0.0348835,0.5880138,-0.3721414,0.3519473,0.8584908
0.323709011,1.299164,0.2050006,0.4658607,-0.3692781,0.3553792,0.8517359
0.326218128,1.360824,0.1450296,0.5880138,-0.372169,0.3505001,0.8536444
0.328727722,1.299164,0.1450296,0.5269372,-0.371208,0.3553666,0.8541673
0.331236839,1.175844,0.08505853,0.5880138,-0.3721509,0.3529226,0.8575338
0.333746433,1.175844,0.2050006,0.8933965,-0.3692164,0.3480681,0.8574635
0.33625555,1.299164,0.1450296,0.7101669,-0.370644,0.3461078,0.8613218
0.338764668,1.422484,0.02508752,0.7712434,-0.3721451,0.3490336,0.8565295
0.341274262,1.237504,0.3849136,0.5880138,-0.3702135,0.3485598,0.8540933
0.343784332,1.299164,0.2649716,0.5269372,-0.3668398,0.3505267,0.8502197
0.346293449,1.299164,0.2050006,0.5269372,-0.368296,0.3514922,0.8512071
0.348802567,1.237504,0.3849136,0.6490903,-0.3692383,0.3519633,0.8560517
0.351312161,1.175844,0.1450296,0.5880138,-0.3721541,0.3529238,0.8570506
0.353821278,1.052525,0.3849136,0.4658607,-0.3721754,0.3505026,0.8526779
0.356330872,1.175844,0.3849136,0.5269372,-0.3692933,0.3510122,0.8473442
0.358839989,1.114184,0.3249426,0.5269372,-0.3756,0.3534133,0.8512834
0.361349583,0.9908647,0.2050006,0.5269372,-0.3755891,0.3509799,0.8517429
0.3638587,0.9292048,0.2050006,0.3437076,-0.3668298,0.3524664,0.8526548
0.366367817,1.052525,0.3249426,0.2826311,-0.3658482,0.3558675,0.8555796
0.368877411,0.9292048,0.02508752,0.5880138,-0.3726537,0.3519554,0.8546288
0.371386528,0.9908647,0.2050006,0.5880138,-0.3706933,0.350499,0.8560489
0.373896599,0.9292048,0.2649716,0.4658607,-0.3702334,0.3548834,0.8541549
0.376405716,0.8675449,0.1450296,0.5269372,-0.3673465,0.3549054,0.8492997
0.37891531,0.805885,-0.0348835,0.4047842,-0.3668374,0.3548986,0.8526784
0.381424427,0.6825652,0.1450296,0.4047842,-0.3707349,0.3524581,0.8507525
0.383934021,0.7442251,0.1450296,0.4658607,-0.3673226,0.3534388,0.8521848
0.386443138,0.7442251,0.08505853,0.4047842,-0.3716993,0.3558526,0.8536927
0.388952732,0.6825652,0.08505853,0.2826311,-0.3712269,0.3582888,0.852746
0.391461849,0.6825652,-0.0348835,0.4047842,-0.3755817,0.3568074,0.8556656
0.393970966,0.5592454,0.08505853,0.2826311,-0.3726739,0.3563357,0.853705
0.39648056,0.4975855,-0.0348835,0.3437076,-0.3707303,0.3509988,0.8507383
0.398989678,0.6209053,-0.0348835,0.4658607,-0.3692353,0.3509904,0.8560422
0.401499271,0.6209053,0.02508752,0.4047842,-0.3678205,0.3529556,0.8502511
0.404008865,0.3742657,-0.0348835,0.2826311,-0.3678561,0.3519973,0.8444428
0.406518459,0.4359255,0.2649716,0.3437076,-0.3697652,0.3514909,0.8497689
0.409027577,0.3742657,0.08505853,0.5269372,-0.3731425,0.3475818,0.8521739
0.411537171,0.4359255,-0.09485453,0.5269372,-0.366806,0.3500281,0.8550472
0.414046288,0.4975855,0.02508752,0.3437076,-0.3682981,0.348092,0.849241
0.416555882,0.5592454,0.08505853,0.3437076,-0.367281,0.3514797,0.8574814
0.419064999,0.4975855,0.08505853,0.3437076,-0.3702629,0.3519793,0.8483277
0.421574116,0.4359255,0.1450296,0.4047842,-0.3712208,0.34614,0.8477953
0.42408371,0.4359255,-0.0348835,0.2826311,-0.3726594,0.346613,0.8511941
0.426592827,0.3742657,0.02508752,0.3437076,-0.3736075,0.3509732,0.8570431
0.429102421,0.4359255,-0.09485453,0.5269372,-0.3701548,0.3431932,0.8603231
0.431611538,0.4359255,-0.2147966,0.5880138,-0.3691885,0.3412556,0.8583636
0.434121609,0.5592454,-0.0348835,0.5269372,-0.3692396,0.3441899,0.8521101
0.436630726,0.5592454,-0.2147966,0.6490903,-0.371669,0.3441805,0.8526124
0.43914032,0.6209053,-0.2147966,0.7101669,-0.3706652,0.3446581,0.8574418
0.441649437,0.4975855,-0.09485453,0.4658607,-0.3697319,0.3480774,0.8531183
0.444159031,0.6209053,-0.1548255,0.7101669,-0.3746055,0.3466065,0.8512094
0.446668148,0.6209053,0.02508752,0.7101669,-0.3716254,0.34465,0.8593824
0.449177265,0.8675449,-0.2747676,0.6490903,-0.3682475,0.3422427,0.8540164
0.451686859,0.9908647,-0.1548255,0.6490903,-0.3658416,0.3466336,0.852107
0.454195976,0.9292048,0.02508752,0.7712434,-0.3697451,0.3461389,0.8502
0.45670557,0.9292048,0.08505853,0.8933965,-0.3697233,0.3514751,0.8560508
0.459214687,0.9292048,-0.1548255,0.954473,-0.371703,0.3529388,0.8517313
0.461724758,1.114184,-0.1548255,0.8933965,-0.3697629,0.3558628,0.8522276
0.464233875,0.9908647,-0.1548255,0.954473,-0.3678042,0.3539212,0.8531599
0.466743469,1.175844,-0.09485453,0.83232,-0.3658629,0.3544154,0.8526661
0.469252586,1.175844,-0.2147966,0.7712434,-0.3692946,0.3524703,0.8478416
0.47176218,1.114184,-0.1548255,0.8933965,-0.3707079,0.3500186,0.8536282
0.474271298,1.114184,-0.1548255,0.7712434,-0.3716595,0.3534083,0.8585011
0.476780415,1.114184,-0.0348835,0.83232,-0.3693325,0.3573431,0.8445064
0.479290009,1.052525,-0.1548255,0.83232,-0.3692881,0.3534395,0.8493007
0.481799126,0.9908647,0.02508752,0.83232,-0.3702847,0.3568461,0.8474087
0.48430872,0.9908647,-0.09485453,0.7101669,-0.3717501,0.3607303,0.8484245
0.486817837,0.805885,-0.2747676,0.83232,-0.368815,0.3597624,0.850325
0.489326954,0.9292048,0.1450296,0.5880138,-0.3687668,0.3587726,0.8570807
0.491836548,0.7442251,-0.2147966,0.7101669,-0.3678054,0.356351,0.85415
0.494346619,0.8675449,-0.0348835,0.6490903,-0.3683253,0.3597628,0.8508044
0.496855736,0.5592454,0.02508752,0.5880138,-0.3722032,0.3582867,0.8522704
0.49936533,0.5592454,0.02508752,0.5269372,-0.3722113,0.3578039,0.8508161
0.501874447,0.3126058,-0.09485453,0.5880138,-0.3663554,0.3573312,0.8531816
0.504383564,0.3742657,-0.2147966,0.3437076,-0.3717435,0.3616996,0.8498837
0.506893158,0.2509459,-0.2147966,0.3437076,-0.3673761,0.3612327,0.8479116
0.509402275,-0.05735363,-0.2147966,0.3437076,-0.3663821,0.361714,0.8512913
0.511911869,0.1276261,-0.0348835,0.2215545,-0.3678746,0.3670659,0.8489387
0.514420986,0.004306266,-0.0348835,0.3437076,-0.367878,0.3660954,0.8479628
0.516930103,-0.1190135,-0.3347386,0.3437076,-0.3663979,0.3636633,0.8498605
0.519439697,-0.3656531,-0.3947096,0.160478,-0.3688309,0.3607402,0.8484015
0.521948815,-0.4889729,-0.2747676,0.09940146,-0.3678481,0.3617115,0.8503363
0.524458885,-0.427313,-0.3347386,0.03832492,-0.3678643,0.3607458,0.8474274
0.526968479,-0.6122927,-0.5146517,0.09940146,-0.3654068,0.3558861,0.8488106
0.529477596,-0.8589323,-0.2747676,0.03832492,-0.3702572,0.3573216,0.8517625
0.531986714,-0.9205922,-0.2147966,-0.2059812,-0.3722244,0.3568372,0.8483904
0.534496307,-0.9822521,-0.5146517,-0.02275162,-0.3712606,0.3587874,0.8479185
0.537005425,-0.9822521,-0.6345937,0.160478,-0.366852,0.3544182,0.8502576
0.539515019,-1.105572,-0.5146517,-0.02275162,-0.3668456,0.3544158,0.8512241
0.542024136,-1.043912,-0.4546807,-0.2059812,-0.368315,0.3534428,0.8492931
0.544533253,-0.9822521,-0.2747676,-0.1449047,-0.3697872,0.355386,0.8483571
0.547042847,-1.043912,-0.5146517,-0.02275162,-0.3726777,0.3524503,0.851251
0.549551964,-0.9822521,-0.3947096,0.03832492,-0.37264,0.3466058,0.8540935
0.552061558,-0.8589323,-0.5746227,-0.08382816,-0.3707109,0.3509915,0.8536376
0.554571629,-1.167232,-0.5146517,0.03832492,-0.3668381,0.3510119,0.8507077
0.557080746,-1.167232,-0.5746227,-0.1449047,-0.3682779,0.3539147,0.8550966
0.559589863,-1.043912,-0.5746227,-0.08382816,-0.3692161,0.3500114,0.8584489
0.562099457,-1.043912,-0.5146517,0.03832492,-0.3697208,0.3475873,0.8545632
0.564608574,-0.9205922,-0.3947096,0.09940146,-0.3707001,0.3485581,0.8540971
0.567118168,-0.9822521,-0.5146517,-0.02275162,-0.3682785,0.350028,0.8531258
0.569627285,-1.043912,-0.5146517,-0.02275162,-0.3702341,0.3509968,0.8521841
0.572136402,-0.7972724,-0.4546807,0.09940146,-0.3677949,0.3519742,0.8536242
0.574645996,-0.6739526,-0.4546807,0.2215545,-0.3662995,0.3446778,0.8554745
0.577155113,-0.5506328,-0.2147966,-0.02275162,-0.3711438,0.3441676,0.8584073
0.579664707,-0.427313,-0.2147966,0.09940146,-0.3687362,0.3490439,0.8569859
0.582173824,-0.5506328,-0.2747676,0.160478,-0.3672479,0.3470945,0.8603381
0.584683895,-0.427313,-0.09485453,0.3437076,-0.3697137,0.3412685,0.8525687
0.587193012,-0.3039932,-0.3347386,0.09940146,-0.3663114,0.3505126,0.8564978
0.587193012,-0.3039932,-0.3347386,0.09940146,-0.3663114,0.3505126,0.8564978
0.589702606,-0.1806734,-0.2747676,0.2215545,-0.3667907,0.3451638,0.8549998
0.592211723,0.06596617,-0.2147966,0.3437076,-0.3667528,0.3402909,0.858335
0.594721317,0.189286,-0.2147966,0.5269372,-0.3687526,0.3471066,0.8535844
0.597230435,0.2509459,-0.3347386,0.4658607,-0.3672789,0.3446769,0.8545157
0.599739552,0.2509459,-0.1548255,0.4047842,-0.3657482,0.3363955,0.8611888
0.602249146,0.3742657,-0.2147966,0.7101669,-0.3667672,0.3407822,0.8564069
0.604758263,0.5592454,-0.1548255,0.5269372,-0.3702089,0.3471004,0.8540791
0.607267857,0.4975855,-0.09485453,0.4658607,-0.3687397,0.3471017,0.8555173
0.609776974,0.4975855,0.02508752,0.6490903,-0.3672749,0.3393309,0.8525307
0.612286568,0.805885,0.08505853,0.6490903,-0.3628873,0.3446869,0.8564142
0.614796162,1.052525,0.02508752,0.5880138,-0.3658141,0.3471092,0.8564608
0.617305756,0.9908647,-0.1548255,0.7712434,-0.3726204,0.3485419,0.8579782
0.619814873,1.052525,-0.09485453,0.83232,-0.3702313,0.3480806,0.8511893
0.622324467,1.114184,-0.0348835,0.83232,-0.3682662,0.3461366,0.8530879
0.624833584,1.175844,0.2649716,0.7712434,-0.367778,0.3466235,0.853572
0.627342701,1.360824,0.1450296,0.8933965,-0.3672991,0.3490573,0.8535919
0.629852295,1.299164,0.08505853,1.01555,-0.368267,0.3514813,0.8555561
0.632361412,1.360824,0.2649716,0.954473,-0.3677731,0.3471074,0.8545432
0.634871483,1.422484,0.2050006,0.83232,-0.3677944,0.3548892,0.8551022
0.637380123,1.360824,0.2050006,0.954473,-0.3697801,0.3592703,0.8512944
0.639889717,1.484144,0.3249426,0.954473,-0.3692684,0.3553756,0.8531856
0.642399311,1.360824,0.3849136,1.01555,-0.3658375,0.3524624,0.8555465
0.644908905,1.360824,0.2649716,1.01555,-0.3677708,0.3514793,0.857002
0.647418022,1.360824,0.2050006,1.01555,-0.368802,0.3505262,0.8478189
0.649927616,1.360824,0.2050006,1.01555,-0.3707448,0.3505184,0.8483173
0.652436733,1.299164,0.2649716,0.83232,-0.3682736,0.3505121,0.8540969
0.654945851,1.299164,0.3249426,1.01555,-0.3707238,0.3509963,0.8517047
0.657455444,1.422484,0.2050006,0.83232,-0.3663783,0.3553964,0.8488135
0.659964562,1.422484,0.2649716,0.954473,-0.3688143,0.3544177,0.8478567
0.662474156,1.484144,0.2649716,1.01555,-0.3697344,0.3529369,0.8550985
0.664983273,1.484144,0.02508752,0.954473,-0.3653695,0.3471266,0.8501751
0.667492867,1.422484,0.1450296,0.83232,-0.3638772,0.3500344,0.856474
0.670001984,1.422484,0.1450296,0.954473,-0.3687715,0.3500288,0.8521631
0.672511101,1.545804,0.3849136,1.01555,-0.3648835,0.3534446,0.8531322
0.675021172,1.669124,0.3249426,0.8933965,-0.3716983,0.3524511,0.8522097
0.677530766,1.607464,0.02508752,0.954473,-0.3673044,0.3466299,0.8516353
0.680039883,1.545804,0.3849136,0.954473,-0.3653534,0.3471205,0.8525912
0.682549,1.484144,0.3849136,0.954473,-0.3687857,0.3514918,0.8507277
0.685058594,1.484144,0.2649716,1.01555,-0.3716728,0.3504981,0.8550901
0.687567711,1.422484,0.08505853,1.137703,-0.3731179,0.3500019,0.8570298
0.690077305,1.607464,0.1450296,0.954473,-0.372643,0.3485503,0.8545957
0.692586422,1.730783,0.2050006,1.01555,-0.3702503,0.3500311,0.8492752
0.695096016,1.669124,0.08505853,1.198779,-0.3726321,0.3461169,0.8550552
0.697605133,1.607464,0.02508752,1.198779,-0.3730994,0.3451363,0.8574656
0.70011425,1.730783,0.2050006,1.137703,-0.3702582,0.3514917,0.8488062
0.702624321,1.730783,0.2050006,1.259856,-0.3682914,0.3500329,0.8511929
0.705133915,1.792443,0.1450296,1.198779,-0.3717202,0.3563463,0.850798
0.707643032,1.730783,0.08505853,1.259856,-0.3692702,0.3539187,0.8522049
0.710152149,1.669124,-0.09485453,1.382009,-0.3692607,0.3529434,0.8531619
0.712661743,1.484144,0.08505853,1.198779,-0.3688086,0.35976,0.8512915
0.71517086,1.360824,0.1450296,1.259856,-0.3736707,0.3587707,0.8513202
0.717680454,1.237504,-0.1548255,1.259856,-0.3717374,0.3597538,0.8498647
0.720189572,1.422484,-0.2747676,1.320932,-0.3693292,0.3583136,0.8454823
0.722699166,1.422484,-0.3347386,1.320932,-0.3654317,0.3607541,0.8474084
0.725208283,1.175844,-0.4546807,1.137703,-0.3649484,0.3607569,0.8469213
0.7277174,1.052525,-0.5746227,1.259856,-0.3712673,0.3578181,0.8464593
0.730226994,0.9292048,-0.4546807,1.198779,-0.3673537,0.3602526,0.8508015
0.732736111,0.9292048,-0.2747676,1.076626,-0.3668824,0.3558872,0.8464059
0.735246182,0.8675449,-0.3347386,0.8933965,-0.3653827,0.3553911,0.8521885
0.737755299,0.7442251,-0.4546807,1.076626,-0.3668784,0.3607443,0.8493527
0.740264893,0.6825652,-0.5746227,1.137703,-0.3702474,0.3582897,0.8537049
0.74277401,0.6209053,-0.4546807,0.954473,-0.3692537,0.3568276,0.8560991
0.745283604,0.7442251,-0.4546807,1.01555,-0.3688236,0.3563646,0.8473924
0.747792721,0.7442251,-0.3347386,0.954473,-0.3644262,0.3524855,0.8482866
0.750302315,0.6209053,-0.4546807,1.198779,-0.3673021,0.3510018,0.8540941
0.752811432,0.5592454,-0.6945647,1.137703,-0.3673091,0.3573206,0.8560885
0.755320549,0.6209053,-0.5146517,1.076626,-0.3683408,0.3534525,0.8454273
0.757830143,0.6825652,-0.6345937,1.137703,-0.3638932,0.3510121,0.8545505
0.76033926,0.8675449,-0.6345937,1.198779,-0.3634727,0.3607558,0.8493259
0.762849331,0.7442251,-0.3347386,1.076626,-0.3629881,0.3593006,0.8483415
0.765358448,0.5592454,-0.3947096,1.076626,-0.3615234,0.3607612,0.8497939
0.767868042,0.6825652,-0.5746227,0.954473,-0.3659324,0.363187,0.8464693
0.770377159,0.8675449,-0.3347386,0.8933965,-0.3615038,0.3626972,0.8536787
0.772886753,0.8675449,-0.2747676,0.7712434,-0.3610331,0.3646482,0.8522441
0.77539587,0.9292048,-0.2147966,0.7712434,-0.3692932,0.3612152,0.8522759
0.777905464,0.9292048,-0.2147966,0.6490903,-0.361987,0.363666,0.8546584
0.780414581,0.9292048,-0.2747676,0.7101669,-0.3610079,0.3607519,0.8541391
0.782923699,0.9292048,-0.0348835,0.5269372,-0.3634571,0.3578348,0.850264
0.785433293,0.9292048,-0.0348835,0.5269372,-0.3653998,0.3587987,0.8512552
0.78794241,0.7442251,-0.1548255,0.7101669,-0.3624931,0.3617283,0.8507775
0.790452004,0.8675449,0.08505853,0.4658607,-0.3630117,0.3627105,0.8464417
0.792961121,0.805885,-0.0348835,0.4047842,-0.3639255,0.3602556,0.8541573
0.795471192,0.6825652,-0.2147966,0.5269372,-0.3673121,0.3582935,0.856098
0.797980309,0.6825652,-0.2147966,0.3437076,-0.3653817,0.3612211,0.8551447
0.800489903,0.805885,-0.2747676,0.2826311,-0.365915,0.3607512,0.8478954
0.80299902,0.6209053,-0.1548255,0.3437076,-0.3693034,0.3583039,0.8493481
0.805508614,0.6209053,-0.09485453,0.4047842,-0.3678238,0.3621882,0.8542069
